language,country,main_group,subgroup,product-name,product-number,file-path
fr,FR,pipeline-ancillaries,separators,s13,p023-26,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s13-ti-p023-26-fr.ashx?rev=6578acf6d21149088a5e27a4cc010d19
de,DE,pipeline-ancillaries,separators,s13,p023-26,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s13-ti-p023-26-de.ashx?rev=a9b365830f7a47bc815315d90d08d384
it,IT,pipeline-ancillaries,separators,s13_,p023-26,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s13_-ti-p023-26-it.ashx?rev=465c7938048943808e6b6c543adbc703
it,CH,pipeline-ancillaries,separators,s13_,p023-26,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s13_-ti-p023-26-it.ashx?rev=465c7938048943808e6b6c543adbc703
it,CH,pipeline-ancillaries,separators,s1_filettati,p023-02,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s1_filettati-ti-p023-02-it.ashx?rev=3ba698aae592413a8342ee5c08c9bf2f
it,IT,pipeline-ancillaries,separators,s1_filettati,p023-02,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s1_filettati-ti-p023-02-it.ashx?rev=3ba698aae592413a8342ee5c08c9bf2f
fr,FR,boiler-controls-and-systems,conductivity-meters,s20,p403-45,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s20-ti-p403-45-fr.ashx?rev=bca9a52c32a54e828c10a1555168d507
fr,CH,boiler-controls-and-systems,conductivity-meters,s20,p403-45,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s20-ti-p403-45-fr.ashx?rev=bca9a52c32a54e828c10a1555168d507
de,CH,boiler-controls-and-systems,conductivity-meters,s20,s-20,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s20-ti-s-20-de.ashx?rev=2421f77e6d354438b9f0224ae338f8aa
fr,CH,pipeline-ancillaries,separators,s5,p023-11,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s5-ti-p023-11-fr.ashx?rev=a47860207b8f4ab185952a5d494add34
